datetime_utc,value,parameter,unit,sensor_id,location_name,city,country
2016-01-30 03:00:00+00:00,1017.0,co,µg/m³,5136,MNB,Unknown,MN
2016-01-30 03:00:00+00:00,966.0,co,µg/m³,5373,100 ail,Unknown,MN
2016-01-30 03:00:00+00:00,1030.0,co,µg/m³,4422,Coyhaique II,Unknown,CL
2016-01-30 03:00:00+00:00,28.0,no2,µg/m³,238,London Bloomsbury,Unknown,GB
2016-01-30 03:00:00+00:00,23.79,pm10,µg/m³,45,Inpesca,Unknown,CL
2016-01-30 03:00:00+00:00,25.85,pm10,µg/m³,110,Curicó,Unknown,CL
2016-01-30 03:00:00+00:00,9.85833333333333,pm10,µg/m³,4700,Amsterdam-Westerpark,Unknown,NL
2016-01-30 03:00:00+00:00,53.0,co,µg/m³,1454,Bukhiin urguu,Unknown,MN
2016-01-30 03:00:00+00:00,219.5,co,µg/m³,165,IJmuiden-Kanaaldijk,Unknown,NL
2016-01-30 03:00:00+00:00,715.0,co,µg/m³,4990,Konarskiego,Unknown,PL
2016-01-30 03:15:00+00:00,0.0,co,µg/m³,1454,Bukhiin urguu,Unknown,MN
2016-01-30 03:15:00+00:00,3063.0,co,µg/m³,108,Baruun 4 zam,Unknown,MN
2016-01-30 03:15:00+00:00,775.0,co,µg/m³,5373,100 ail,Unknown,MN
2016-01-30 03:30:00+00:00,3088.0,co,µg/m³,108,Baruun 4 zam,Unknown,MN
2016-01-30 03:30:00+00:00,952.0,co,µg/m³,68,Amgalan,Unknown,MN
2016-01-30 03:30:00+00:00,775.0,co,µg/m³,5373,100 ail,Unknown,MN
2016-01-30 03:30:00+00:00,0.0,co,µg/m³,1454,Bukhiin urguu,Unknown,MN
2016-01-30 03:30:00+00:00,836.0,co,µg/m³,5136,MNB,Unknown,MN
2016-01-30 03:45:00+00:00,0.0,co,µg/m³,1454,Bukhiin urguu,Unknown,MN
2016-01-30 03:45:00+00:00,908.0,co,µg/m³,5373,100 ail,Unknown,MN
2016-01-30 03:45:00+00:00,2875.0,co,µg/m³,108,Baruun 4 zam,Unknown,MN
2016-01-30 04:00:00+00:00,7.0,no2,µg/m³,231,London Haringey Priory Park South - UKA00568,Unknown,GB
2016-01-30 04:00:00+00:00,31.22,pm10,µg/m³,5294,Cerro Merquín,Unknown,CL
2016-01-30 04:00:00+00:00,25.99,pm10,µg/m³,45,Inpesca,Unknown,CL
2016-01-30 04:00:00+00:00,8.08695652173913,pm25,µg/m³,161,Maastricht-A2 Kasteel Hillenraadweg,Unknown,NL
2016-01-30 04:00:00+00:00,0.0,co,µg/m³,5127,Coronel Norte,Unknown,CL
2016-01-30 04:00:00+00:00,84.48,pm10,µg/m³,87,Gobernación,Unknown,CL
2016-01-30 04:00:00+00:00,-999.0,co,µg/m³,162,Badhoevedorp-Sloterweg,Unknown,NL
2016-01-30 04:00:00+00:00,636.4,co,µg/m³,223,Escuela E-10,Unknown,CL
2016-01-30 04:00:00+00:00,14.0,no2,µg/m³,88,Haringey Roadside,Unknown,GB
2016-01-30 04:00:00+00:00,-999.0,co,µg/m³,157,Amsterdam-Vondelpark,Unknown,NL
2016-01-30 04:00:00+00:00,913.0,co,µg/m³,5373,100 ail,Unknown,MN
2016-01-30 04:00:00+00:00,572.4,co,µg/m³,4422,Coyhaique II,Unknown,CL
2016-01-30 04:00:00+00:00,716.0,co,µg/m³,4990,Konarskiego,Unknown,PL
2016-01-30 04:00:00+00:00,237.4,co,µg/m³,1045,Parque O'Higgins,Unknown,CL
2016-01-30 04:00:00+00:00,2700.0,co,µg/m³,108,Baruun 4 zam,Unknown,MN
2016-01-30 04:00:00+00:00,9.325,pm10,µg/m³,4700,Amsterdam-Westerpark,Unknown,NL
2016-01-30 04:00:00+00:00,0.0,so2,µg/m³,89,Coya Población,Unknown,CL
2016-01-30 04:00:00+00:00,217.39,co,µg/m³,85,Zegveld-Oude Meije,Unknown,NL
2016-01-30 04:00:00+00:00,9.0,no2,µg/m³,251,Southwark A2 Old Kent Road,Unknown,GB
2016-01-30 04:00:00+00:00,215.9,co,µg/m³,165,IJmuiden-Kanaaldijk,Unknown,NL
2016-01-30 04:00:00+00:00,-999.0,co,µg/m³,167,Wijk aan Zee-Burgemeester Rothestraat,Unknown,NL
2016-01-30 04:00:00+00:00,31.62,pm10,µg/m³,110,Curicó,Unknown,CL
2016-01-30 04:00:00+00:00,131.32,co,µg/m³,4230,Nijmegen-Graafseweg,Unknown,NL
2016-01-30 04:00:00+00:00,801.0,co,µg/m³,5136,MNB,Unknown,MN
2016-01-30 04:00:00+00:00,6.29,no2,µg/m³,4608,Hilversum-J. Gerardtsweg,Unknown,NL
2016-01-30 04:00:00+00:00,16.0,pm25,µg/m³,220,Guangzhou,Unknown,CN
2016-01-30 04:00:00+00:00,889.0,co,µg/m³,68,Amgalan,Unknown,MN
2016-01-30 04:00:00+00:00,800.2,co,µg/m³,209,Los Vientos,Unknown,CL
2016-01-30 04:00:00+00:00,859.4,co,µg/m³,1410,Concón,Unknown,CL
2016-01-30 04:00:00+00:00,210.5,co,µg/m³,166,Amsterdam-Einsteinweg,Unknown,NL
2016-01-30 04:00:00+00:00,32.0,pm25,µg/m³,219,Shanghai,Unknown,CN
2016-01-30 04:00:00+00:00,197.0,co,µg/m³,164,Amsterdam-Van Diemenstraat,Unknown,NL
2016-01-30 04:00:00+00:00,11.1,no2,µg/m³,5009,Ursynów,Unknown,PL
2016-01-30 04:00:00+00:00,0.0,co,µg/m³,1454,Bukhiin urguu,Unknown,MN
2016-01-30 04:00:00+00:00,26.0,no2,µg/m³,238,London Bloomsbury,Unknown,GB
2016-01-30 04:00:00+00:00,342.1,co,µg/m³,65,Puente Alto,Unknown,CL
2016-01-30 04:15:00+00:00,875.0,co,µg/m³,5373,100 ail,Unknown,MN
2016-01-30 04:15:00+00:00,0.0,co,µg/m³,1454,Bukhiin urguu,Unknown,MN
2016-01-30 04:15:00+00:00,1800.0,co,µg/m³,108,Baruun 4 zam,Unknown,MN
2016-01-30 04:30:00+00:00,0.0,co,µg/m³,1454,Bukhiin urguu,Unknown,MN
2016-01-30 04:30:00+00:00,1638.0,co,µg/m³,108,Baruun 4 zam,Unknown,MN
